user,latitude,longitude
coletteparis,48.86538169,2.33084248
BenoitMen,48.87637297,2.32538939
yanarudkovskaya,48.94978823,2.4307251
Shell_Syndicate,48.8581477,2.3056169
DCeliset,48.83683,2.392333
Nim_Joshi,48.88669444,2.343
BikoiBrandy,48.887621,2.3499845
smallamericano,48.8762817,2.2951601
oprahmdy,48.9042144,2.2692635
Dietmar_Bauer,48.87850947,2.35606371
holivier,48.93988125,2.3073565
bross_m,48.84669989,2.41443872
MenardMalika,48.86437131,2.29666241
FannyBF,48.85298246,2.35743343
MrsWongLi,48.8861155,2.2461108
BCritique,48.890767,2.34048
enzoabih,48.8726049,2.3434728
RJdev,48.8296352,2.2645293
remixjobs,48.8296352,2.2645293
kartenquizde,48.8567,2.35099
RJdev,48.9194797,2.3584008
remixjobs,48.9194797,2.3584008
StacyCaribbean,48.89385596,2.23622812
laureenjoyn,48.871427,2.345671
bross_m,48.85421158,2.35261917
ClementinePons,48.84851783,2.35034018
maltin75,48.8323935,2.35466838
Disk124,48.856614,2.3522219
Hetooune,48.87583244,2.39729446
michtang_paris,48.87083427,2.29614434
LoveyLoi,48.8552441,2.33044348
JordanOM77,48.78489872,2.34098895
Hetooune,48.8774979,2.3956847
Hetooune,48.87582085,2.39731097
Hetooune,48.87578239,2.39736139
Hetooune,48.87578239,2.39736139
ClementinePons,48.84852456,2.35037233
LLLLITL,48.88460181,2.32012305
signorfandi,48.86437131,2.29666241
Hetooune,48.87584906,2.39733116
120lazone,48.9293487,2.381973
kartenquizde,48.8567,2.35099
MOPiOU,48.8313416,2.3759668
sandrakubicka,48.87850947,2.35606371
emily_ftd,48.85850637,2.34668122
Julien_Glt,48.8497545,2.3806379
JuliaAlethea,48.86437131,2.29666241
mimia77,48.86437131,2.29666241
mllemash,48.84713056,2.34871245
BeverlyIDF,48.87483,2.34738
AGlozman,48.84970792,2.28106606
Hetooune,48.875829,2.39731137
BCritique,48.868397,2.369996
adenorah,48.89344999,2.3181593
FranceBidet,48.873831,2.295021
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
Matutecolombia,48.8717995,2.32809
Maady18,48.89709353,2.33163111
120lazone,48.92934,2.3819469
venomousvenera,48.84254534,2.31285984
MiguelDeSousa8,48.84693114,2.28515467
richpease,48.85303972,2.34971166
andujar_P4L,48.85928537,2.33582331
LocosMaruecos,48.7912478,2.3902125
Hetooune,48.87580458,2.39732364
LImpertinentes,48.86481829,2.34714149
jessadeocades,48.8590256,2.29811714
Marine_Tchikaya,48.84880154,2.28243222
AlainBAUDRY1,48.8939855,2.3217859
pelininstyle,48.8513759,2.31075072
Antlstar,48.89297118,2.27718533
whatweadore_mag,48.8651619,2.3280699
lesnums_rss,48.89235907,2.37007244
claudegrunitzky,48.83730284,2.33157599
vlentz,48.87559872,2.34218713
signorfandi,48.86437131,2.29666241
carloscabreraeg,48.86209215,2.28927351
jessadeocades,48.8590256,2.29811714
LoveyLoi,48.8552441,2.33044348
PhilippeSCHNEI1,48.96751,2.28404
BikoiBrandy,48.887621,2.3499845
Hetooune,48.8756428,2.39738146
LocosMaruecos,48.79128168,2.39024951
LcsDamnvt,48.86458772,2.29670048
tanukichi10,48.866212,2.331335
judithgirardm,48.85632369,2.32649966
CharlotteJarry,48.82886217,2.26732492
tanukichi10,48.86614014,2.33121533
Viperjin,48.8878,2.24758
ozum_keles,48.85421158,2.35261917
Benoit_Huet,48.778103,2.293981
BCritique,48.840078,2.323382
Alo_is,48.77513988,2.37956382
SafaEgrs,48.9344715,2.5192147
Maady18,48.89710214,2.331618
diayre,48.8058891,2.28228
diimuffingirl,48.886099,2.34312415
Cooltraveller,48.86906564,2.29073201
zedgra,48.8851268,2.35972099
julesoflifee,48.85338822,2.34394581
LocosMaruecos,48.79128762,2.39030024
Le__Maya,48.8351505,2.28178029
jfaisdesvagues,48.86056285,2.35173393
hapooms,48.8590256,2.29811714
tourdescinemas,48.8844588,2.3031855
AlainBAUDRY1,48.8939855,2.3217859
LocosMaruecos,48.79128941,2.39029522
joanfaggia,48.90437507,2.36731565
justashleylove1,48.8638734,2.3813178
Ralkhx,48.831971,2.38686
greenscorpion_,48.87003,2.32913
120lazone,48.9293352,2.3819368
iamAliceHubert,48.8708687,2.3690801
poptart822,48.8684336,2.34179963
PierreBdn,48.8703197,2.3301926
jemenfoutisme_,48.896914,2.2387015
Maady18,48.89709362,2.3316608
6rvan_,48.80932735,2.41597716
120lazone,48.9293454,2.3819625
iamAliceHubert,48.8708687,2.3690801
jujum95,49.02825312,2.34191928
PtitRion,48.894231,2.3737851
kartenquizde,48.8567,2.35099
iamAliceHubert,48.8708687,2.3690801
RunEtTalonHaut,48.81866728,2.44639155
rodriguezjunior,48.87069341,2.34750939
RejaneMode,48.85744722,2.34161667
trendinaliaPAR,48.8569,2.3412
jackieboursche2,48.89576683,2.38021729
sanMEGlight,48.86152245,2.32575015
trendinaliaFR,48.8569,2.3412
amandedouce_,48.84493981,2.23724266
iivychaang,48.8663101,2.3099999
Chxton,48.84234884,2.37069986
ClicParis,48.8607996,2.3189072
dracalava,48.86064928,2.33708382
LeanaSbn,48.91114522,2.37860141
Bencayral,48.87139502,2.332247
lionelrigal,48.85342567,2.33925619
amandedouce_,48.8449838,2.2372757
Quai_36,48.90716214,2.33196143
iivychaang,48.8663101,2.3099999
lionelrigal,48.853103,2.342851
Renka_LaGasy,48.9427153,2.2070463
Le21eme,48.85960739,2.36425493
amandedouce_,48.84498751,2.23726711
lionelrigal,48.85219257,2.33970165
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
justashleylove1,48.8638599,2.3813061
lionelrigal,48.8544516,2.33362913
kartenquizde,48.8567,2.35099
cypcyp77,48.91838939,2.35170138
TheGlamStel,48.8710098,2.2933199
SerenaStifler,48.8995273,2.36875903
FranceBidet,48.870248,2.316348
jackieboursche2,48.89592096,2.38027748
120lazone,48.9293415,2.3819374
ifranz67,48.87218999,2.33247788
ifranz67,48.87218999,2.33247788
aringursoy,48.8590256,2.29811714
DeborahAzran,48.86278872,2.23303032
hmylonas,48.85666425,2.32961788
rinrada_tyr,48.85833556,2.34748544
helenareyes97,48.83849931,2.38074118
