user,latitude,longitude
TeawithLeah,51.44957674,0.01289976
kartenquizde,47.2269,12.8266
Meteo_RLD,53.23666667,5.70416667
ooelfvbot,48.10176826,13.67224811
UbicityPrincip,48.030589,16.489036
cottonandcream,52.37681113,4.92228296
KenaiYT,52.69564928,9.68854396
Kubaiss,49.71171171,18.0560843
madampopoff,51.3345757,1.4242013
arjanbroer,52.51200867,6.09226799
dj_talkman,50.06166667,19.93722222
allixsenos,45.78533867,15.96238893
DandumontP,48.96424301,1.5772638
manon_feignier,46.0625224,4.0893334
MarinoMacchioni,45.5206013,9.09303188
KsuGoncharenko,54.67150833,20.49956333
peps39,54.89575309,19.9493758
JSchwanenberg,48.155379,11.588753
Grazia,45.4704895,9.1930504
ptext,53.70029,7.70272
Anamology,50.84617181,4.35515635
tmj_ger_finance,50.1114451,8.6806154
tashrumambi,48.82882,2.28246
ptext,50.93751,6.93886
sieneelen,51.19324092,4.41740526
FrankfurtDE,50.11208,8.68341
MatthieuHerben,52.33794334,4.92625716
saraahsr_,48.26439828,7.72153258
p2000amsterdam,52.3568687,4.8903102
caitlyn_ashh,49.7072553,11.9060617
tmj_GBR_finance,52.2025441,0.1312368
BCritique,48.87022,2.346398
ptext,52.51424,13.1773
Montagnemnt,46.34062084,2.60154451
ClassicIndo,52.30828499,6.92304893
eva_bressan,45.63808642,13.07068742
mpdiamond7,45.45264472,9.16615424
UbicityPrincip,48.030589,16.489036
665a710c7eee424,52.6501385,0.1401046
lucilemadonna,49.141043,1.9744949
tmj_net_sales,52.0901422,5.1096649
p2000rotterdam,51.9119031,4.4640121
alexandreveiiga,48.8521945,3.69294785
TresorParisien,48.86196,2.33594
Montagnemnt,46.33992711,2.60163123
Montagnemnt,46.33992711,2.60163123
Micheko_Galerie,48.1475182,11.5775299
NewsHitter,53.16370106,6.7565918
EvaSvenden,55.5476672,12.9871465
JeanPhilippe54,48.0488513,7.00923006
SamiX31,52.2291898,19.3605148
p2000rotterdam,51.87946667,4.53592848
ptext,53.467486,9.691574
BCritique,48.8740733,2.3442788
geertgeenen,51.80873818,5.7330694
tmj_cze_jobs,50.0878114,14.4204598
Topolino112,45.5666172,8.1481684
greeneyes969696,54.134454,20.592324
DerGuenther,50.94062401,6.95043577
AtheerAlyaqout,49.00401173,2.57105827
julius8378,48.8590256,2.29811714
Barendrecht_112,51.8601937,4.4943295
Ophelie_Bvs,50.29088978,3.15093602
BiskupPatrycja,51.42357833,21.16662667
UbicityPrincip,48.030589,16.489036
RadioTeddyMusic,52.381905,13.1199934
lucilemadonna,49.1409974,1.9744849
ThorMacKenzie,48.12026753,16.56188965
Sylva82,50.0671368,14.4966821
p2000amsterdam,52.369894,4.8818115
mariabrostrom,53.86785603,10.67897725
IsilCakmak,45.46157547,9.27894115
Vermeulenf,52.36663291,4.91538024
juzao,48.35401504,11.78879544
secretlabchaos,48.86431305,2.29694197
SOTAwatch,45.9814,6.5219
DanielRM_DP,51.4740984,0.26577934
RemcovantZelfde,52.51245649,6.2623745
mitchthetenor,48.2042167,16.36147175
okyeh,53.77866656,7.69643533
tmj_ger_sales,52.3968507,13.0584812
KhalidAlammadi,55.68019158,12.58947251
MvMalela,48.85698521,2.3071067
CristianArean_,48.8515396,2.3434701
matt40k,52.05753667,1.16761722
91EvryBrs,48.635672,2.4284664
greeneyes969696,54.134454,20.592324
irzal_sumargo,48.88191,2.35546
Yaraa_x_,52.6534707,4.7686908
BeverlyIDF,48.88483,2.37738
_BB_RADIO_MUSIC,52.381905,13.1199934
Piaisabell,55.73904004,12.54642175
p2000amsterdam,52.3568687,4.8903102
ellenceri,45.91004403,8.50592554
dzsiti,47.47265934,19.04416268
NovozymesJobs,55.693403,12.583046
sieneelen,51.19319357,4.4173879
LukasKafka,50.10819432,14.58364079
pidybi,52.231111,21.0025
JensUndSo,48.389994,10.026226
MondayMorningCC,45.4294812,12.3429313
Southend0nSea,51.54286857,0.6978781
overijssel112,52.52859,6.352104
rtvoost,52.52859,6.352104
UbicityPrincip,48.030589,16.489036
Judithcercos,48.85572051,2.31698129
davicinn23,47.67597,8.614895
MarkusStenglein,48.16689,11.53097
TrendsNederland,52.3738,4.89093
madampopoff,51.3346623,1.4241543
JPetrzela,50.04344776,14.4393014
Mlle_Pamela,48.58505592,7.6943797
Dutsken44,50.92690538,4.43549272
TrendsBelgium,50.8443,4.34279
BCritique,48.878767,2.319205
greeneyes969696,54.13444645,20.59212335
matt40k,52.05753,1.16762318
bellavitaitalia,45.44393496,12.3264946
HazirRohir,52.52524287,13.41402769
PairsonnalitesU,51.61967125,0.0203125
PairsonnalitesU,51.61967125,0.0203125
Pairsonnalites,51.61967125,0.0203125
Pairsonnalites,51.61967125,0.0203125
NCB_Marketing,51.075568,6.888878
babeitsluna,50.75962158,0.28147815
Corpo_Insider,51.22734247,6.75617619
berlingske,55.68087366,12.57994249
hntngprty,54.308626,13.077318
slmthx,45.68436077,0.23370305
jacksontrevor40,51.5932811,0.6012002
dasauge_jobs,52.532614,13.3777035
rileytestut,51.11236487,1.31141932
rileytestut,51.11236487,1.31141932
laferraioli,45.5206013,9.09303188
MartinaPinto,45.48663034,9.20528103
vkokanov,45.12072684,15.58580363
tmj_fra_it,50.6389905,3.0761801
magicbus_,50.08738205,14.42127228
Cacaoprague,50.08812876,14.42902113
UbicityPrincip,48.030589,16.489036
okyeh,53.77866656,7.69643533
dea_was_here,52.36267581,4.88119592
DooDasHairSalon,51.28319993,1.07214332
AntoniaIvic,46.2950781,16.8662667
greeneyes969696,54.13444645,20.59212335
Montagnemnt,46.3393893,2.60189053
96_tash,51.2624913,0.0807986
JulLiieLabrunne,48.9438224,2.1812982
PhilippeSCHNEI1,48.96977,2.27767
ritchielima,53.19133911,5.79116618
BurgernetNL,52.36444957,4.85121711
Katrin_Katrin__,50.05037412,8.57202888
kaleighkallen,51.20247646,3.22695305
joannatraynorr,49.00951054,2.54660524
alone00000000,52.4935021,13.4050654
EllenPiron,51.035746,4.549639
112alarm,52.179822,5.671895
pidybi,52.231111,21.0025
mooseandmouse,50.91952696,0.48489207
EvaSvenden,55.5824592,12.9600514
Skatingsisters,51.1809576,3.13611975
Benjamin_GW,48.80055556,2.40222222
Vannicelli,45.45066833,9.20625305
kartenquizde,51.7098,10.5183
P2000013,51.555331,5.0873829
kartenquizde,49.1159,10.7534
LoloUCorsu,48.93870218,2.35478951
kartenquizde,48.9373,12.0407
stephenwinch,51.97222222,0.78055556
supermecki,52.30099708,8.11133532
Josnebil,50.89958068,4.35628484
kartenquizde,50.0841,8.23838
tmj_ger_manuf,49.282693,8.127291
kartenquizde,52.104,9.35721
HepworthWeather,52.33555556,0.91444444
RegNieuws,52.143059,6.19568
MeteoWestzaan,52.46472222,4.76777778
dasauge_jobs,48.0966922,11.5286651
Meteo_RLD,53.23666667,5.70416667
kartenquizde,47.2269,12.8266
doprava_v_praze,49.99384308,14.37534856
doprava_v_praze,49.98559725,14.39529011
