user,latitude,longitude
zimm3rmann,48.863121,2.3708701
Original_Worm,48.8567,2.3508
Elenwe_,48.86746503,2.36418438
BeverlyIDF,48.85483,2.37738
nicolasdenis,48.830855,2.38854
DaRochaJordan,48.86746503,2.36418438
Bdsopon,48.89037563,2.40147912
trendinaliaFR,48.8569,2.3412
trendinaliaFR,48.8569,2.3412
Polhs3,48.8567,2.3508
Mischlsaun,48.8819695,2.33535
2ouf2ouf,48.83049007,2.31685511
HUPERTAN,48.86746503,2.36418438
jeanpaul_h,48.8567,2.3508
gracedbyfashion,48.8607903,2.3670299
HaileyJB,48.85833333,2.3375
RomanRvr,48.8687,2.36767
Bdsopon,48.89030208,2.40151999
ozeias_antonio,48.8713351,2.30348902
MehdiAllal,48.843888,2.390744
StoyTomio,48.86148756,2.33529121
TehRubenDC,48.87946958,2.29764694
louisjdr,48.86576526,2.35422735
HUPERTAN,48.86746503,2.36418438
anaisdw,48.83970962,2.39392519
_AudreyP,48.84330017,2.34514177
SylvainLapoix,48.8604419,2.3435341
kealro,48.8567,2.3508
AShmurnov,48.8713351,2.30348902
coletteparis,48.86542031,2.33089691
JobsAtOracle,48.9220615,2.2533313
QuentinDagry,48.84081048,2.50448648
awildshark,48.863301,2.287061
FairouzSalvador,48.9,2.45
DanaZarmon,48.8713351,2.30348902
karincaifaCNN,48.8567,2.3508
Bdsopon,48.89029726,2.40151897
Pallacemusic,48.8426094,2.3283701
edemiollis,48.863727,2.334844
Ant_Bell,48.86746503,2.36418438
Bdsopon,48.89029329,2.40152336
JBaylissSmith,48.90160764,2.3415664
Bdsopon,48.890305,2.401522
Samy_Dsp,48.9303497,2.4313968
VirginiePerre,48.8336184,2.2604797
RohanHoussein,48.86746503,2.36418438
ChloeMkr,48.84328464,2.33369895
Baabs18,48.8916796,2.3614272
ana_sdn,48.863121,2.3708701
NicolasBonnetO,48.8582051,2.3465024
elodieinparis,48.8713351,2.30348902
SimonHermelin,48.874892,2.363386
nazliiyilmazz,48.72790238,2.36454964
Atelier_Cologne,48.86743325,2.32414031
malahovajenia,48.85666667,2.35083333
NathaliePeyre,48.75434517,2.32408541
NathaliePeyre,48.75434517,2.32408541
JulCafetaoGB,48.86966863,2.30769242
justfpv,48.86746503,2.36418438
sylvainecaron,48.818889,2.359444
